# catalog_name|variety_name|description|sort_order
Elderberry|York|Large berry clusters|3
Elderberry|Nova|Compact; heavy producer|4
Fennel|Florence|Bulbing fennel; finocchio|1
Fennel|Zefa Fino|Reliable bulb fennel|2
Fennel|Orion|Fast maturing bulb|3
Fennel|Bronze|Ornamental bronze foliage|4
Flat-Leaf Parsley|Italian Giant|Large flat-leaf parsley|1
Flat-Leaf Parsley|Giant of Italy|Robust flavor|2
Flat-Leaf Parsley|Moss Curled|Curly parsley type|3
Flat-Leaf Parsley|Paramount|Slow bolting|4
Fleabane|Standard Native|Native daisy fleabane|1
Fleabane|Lynnhaven Carpet|Low spreading form|2
Fleabane|White Lights|White flowering selection|3
French Tarragon|Classic French|True French tarragon|1
French Tarragon|Sativa|Standard culinary clone|2
French Tarragon|Mexican (Tagetes)|Warm-climate substitute|3
Garden Peony|Sarah Bernhardt|Pink double; classic|1
Garden Peony|Karl Rosenfield|Red double|2
Garden Peony|Festiva Maxima|White with red flecks|3
Garden Peony|Bowl of Beauty|Pink with yellow center|4
Gooseberry|Hinnonmaki Red|Red dessert gooseberry|1
Gooseberry|Hinnonmaki Yellow|Sweet yellow fruit|2
Gooseberry|Invicta|Mildew resistant green|3
Gooseberry|Captivator|Thornless red|4
Greek Oregano|Greek|Strong flavor; culinary|1
Greek Oregano|Italian|Milder oregano|2
Greek Oregano|Hot and Spicy|Peppery oregano|3
Green Bean|Blue Lake|Pole bean; classic|1
Green Bean|Provider|Bush bean; early|2
Green Bean|Contender|Heat tolerant bush|3
Green Bean|Kentucky Wonder|Heirloom pole bean|4
Green Cabbage|Golden Acre|Early round cabbage|1
Green Cabbage|Stonehead|Compact; holds well|2
Green Cabbage|Late Flat Dutch|Storage cabbage|3
Green Cabbage|Red Acre|Red-leaf cabbage|4
Hardneck Garlic|Rocambole|Rich flavor; NE hardy|1
Hardneck Garlic|Porcelain|Large cloves; strong|2
Hardneck Garlic|Purple Stripe|Complex flavor|3
Hardneck Garlic|Music|Popular Porcelain cultivar|4
Highbush Cranberry|American Native|Standard viburnum trilobum|1
Highbush Cranberry|Wentworth|Selected heavy fruiting|2
Highbush Cranberry|Compactum|Dwarf form|3
Honeycrisp Apple|Standard|Honeycrisp on semi-dwarf|1
Honeycrisp Apple|M9 Dwarf|M9 rootstock; small tree|2
Honeycrisp Apple|B.9 Dwarf|Very dwarf; patio tree|3
Honeycrisp Apple|G.935|Disease-resistant rootstock|4
Hosta|Blue Angel|Large blue leaves|1
Hosta|Guacamole|Chartreuse; fragrant|2
Hosta|Patriot|Green with white edge|3
Hosta|Sum and Substance|Giant gold leaves|4
Jalapeño Pepper|Early Jalapeño|Standard hot pepper|1
Jalapeño Pepper|TAM Mild Jalapeño|Milder heat|2
Jalapeño Pepper|Mucho Nacho|Large jalapeño|3
Jalapeño Pepper|Purple Jalapeño|Dark purple fruit|4
Kale|Lacinato|Dinosaur kale; tender|1
Kale|Winterbor|Curly green kale|2
Kale|Red Russian|Flat purple-veined|3
Kale|Scarlet|Ornamental red kale|4
Kohlrabi|Purple Vienna|Purple skin kohlrabi|1
Kohlrabi|White Vienna|Light green standard|2
Kohlrabi|Kossak|Large storage type|3
Kohlrabi|Azur Star|Blue-purple heirloom|4
Lavender|Hidcote|Compact English lavender|1
Lavender|Munstead|Hardy; gray foliage|2
Lavender|Phenomenal|Cold-hardy hybrid|3
Lavender|Grosso|High oil; Provence type|4
Leek|American Flag|Standard fall leek|1
Leek|Lancelot|Early maturing|2
Leek|Bandit|Winter hardy leek|3
Leek|King Richard|Summer leek; fast|4
Lemon Balm|Standard|Classic lemon balm|1
Lemon Balm|Quedlinburger|High oil content|2
Lemon Balm|Citronella|Strong lemon scent|3
Lettuce|Buttercrunch|Butterhead lettuce|1
Lettuce|Black Seeded Simpson|Looseleaf; early|2
Lettuce|Romaine (Parris Island)|Crisp romaine|3
Lettuce|Red Salad Bowl|Red looseleaf|4
Lilac|Common Purple|Classic Syringa vulgaris|1
Lilac|Miss Kim|Compact Korean lilac|2
Lilac|President Grevy|Double blue flowers|3
Lilac|Bloomerang|Reblooming lilac|4
Marigold|French (Durango)|Compact French marigold|1
Marigold|African (Crackerjack)|Large pom-pom blooms|2
Marigold|Signet (Gem)|Edible tangerine gem|3
Marigold|White Swan|White African marigold|4
Montmorency Cherry|Standard|Classic sour pie cherry|1
Montmorency Cherry|Meteor|Dwarf sour cherry|2
Montmorency Cherry|North Star|Genetic dwarf pie cherry|3
Montmorency Cherry|Surefire|Late-blooming sour|4
Mullein|Common|Standard biennial mullein|1
Mullein|Sixteen-Hundred|Selected ornamental|2
Mullein|Southern|Native southern type|3
New England Aster|Purple Dome|Compact purple|1
New England Aster|Alma Potschke|Deep rose pink|2
New England Aster|Harrington's Pink|Tall pink native|3
New England Aster|September Ruby|Ruby red flowers|4
Ostrich Fern|Standard Native|Classic fiddlehead fern|1
Ostrich Fern|Matteuccia|Thelypteris native type|2
Ostrich Fern|King Ostrich|Selected vigor|3
Panicle Hydrangea|Limelight|Green-white panicles|1
Panicle Hydrangea|Quick Fire|Early white-pink|2
Panicle Hydrangea|PeeGee|Classic panicle type|3
Panicle Hydrangea|Vanilla Strawberry|Pink aging blooms|4
Parsnip|Hollow Crown|Classic long parsnip|1
Parsnip|All American|Smooth roots|2
Parsnip|Gladiator|Canner type; uniform|3
Parsnip|Javelin|Disease resistant|4
Pawpaw|Sunflower|Selected pawpaw cultivar|1
Pawpaw|Pennsylvania Golden|Early ripening|2
Pawpaw|Allegheny|Large fruit; rich flavor|3
Pawpaw|NC-1|Canadian hardy selection|4
Pea|Sugar Snap|Edible-pod snap pea|1
Pea|Wando|Heat tolerant shell pea|2
Pea|Little Marvel|Compact shelling pea|3
Pea|Oregon Sugar Pod|Snow pea type|4
Purple Coneflower|Purple Coneflower|Standard Echinacea purpurea|1
Purple Coneflower|Magnus|Large pink petals|2
Purple Coneflower|White Swan|White coneflower|3
Purple Coneflower|Cheyenne Spirit|Mixed color seed strain|4
Radish|Cherry Belle|Round red spring radish|1
Radish|French Breakfast|Oblong mild radish|2
Radish|Watermelon|White skin; red interior|3
Radish|Daikon (Miyashige)|Long white radish|4
Red Currant|Red Lake|Standard red currant|1
Red Currant|Rovada|Long trusses; late|2
Red Currant|Wilder|Heavy producer|3
Red Currant|Jonkheer van Tets|Early red currant|4
Red Raspberry|Heritage|Everbearing red raspberry|1
Red Raspberry|Boyne|Summer-bearing; hardy|2
Red Raspberry|Caroline|Late everbearing|3
Red Raspberry|Killarney|Firm fruit; disease resistant|4
Red Twig Dogwood|Bailey|Selected red stems|1
Red Twig Dogwood|Arctic Fire|Compact red twig|2
Red Twig Dogwood|Cardinal|Bright winter color|3
Red Twig Dogwood|Native Standard|Wild type dogwood|4
Rhubarb|Victoria|Classic green-red stalks|1
Rhubarb|Canada Red|Red stalks throughout|2
Rhubarb|MacDonald|Tender early stalks|3
Rhubarb|Valentine|Deep red; sweet|4
Rosemary|Arp|Cold-hardy rosemary|1
Rosemary|Tuscan Blue|Upright culinary|2
Rosemary|Prostrate|Trailing rosemary|3
Rosemary|Barbecue|Strong flavor for grilling|4
Scallion|Evergreen Hardy White|Bunching onion|1
Scallion|Ishikura|Long white scallion|2
Scallion|Parade|Uniform scallion|3
Scallion|Red Beard|Red-base scallion|4
Serviceberry|Shadblow|Native Amelanchier|1
Serviceberry|Autumn Brilliance|Selected heavy fruit|2
Serviceberry|Regent|Saskatoon-type serviceberry|3
Serviceberry|Smoky|Large sweet berries|4
Spinach|Bloomsdale|Savoy leaf spinach|1
Spinach|Space|Smooth leaf; bolt resistant|2
Spinach|Tyee|Semi-savoy; mildew resistant|3
Spinach|Giant Winter|Overwintering spinach|4
Strawberry|Earliglow|Early June-bearing|1
Strawberry|Allstar|Large midseason berry|2
Strawberry|Seascape|Day-neutral everbearing|3
Strawberry|Alpine (Mignonette)|Small intense berries|4
Sugar Baby Watermelon|Standard|Classic icebox melon|1
Sugar Baby Watermelon|Petite Treat|Mini personal melon|2
Sugar Baby Watermelon|Yellow Doll|Yellow flesh icebox|3
Sugar Baby Watermelon|New Hampshire Midget|Short season|4
Sugar Pumpkin|Small Sugar|Classic pie pumpkin|1
Sugar Pumpkin|Baby Pam|Uniform pie pumpkin|2
Sugar Pumpkin|Winter Luxury|Fine-textured flesh|3
Sugar Pumpkin|New England Pie|Heirloom NE pumpkin|4
Sunflower|Mammoth|Giant single head|1
Sunflower|Velvet Queen|Dark red petals|2
Sunflower|Lemon Queen|Pollinator favorite|3
Sunflower|Teddy Bear|Double dwarf sunflower|4
Sweet Corn|Golden Bantam|Heirloom sweet corn|1
Sweet Corn|Silver Queen|White sweet corn|2
Sweet Corn|Peaches and Cream|Bicolor supersweet|3
Sweet Corn|Trinity|Early bicolor|4
Swiss Chard|Bright Lights|Rainbow stem chard|1
Swiss Chard|Fordhook Giant|White stem; large leaves|2
Swiss Chard|Ruby Red|Red stem chard|3
Swiss Chard|Lucullus|Light green crumpled leaf|4
Turnip|Purple Top White Globe|Classic turnip|1
Turnip|Hakurei|Salad turnip; mild|2
Turnip|Golden Ball|Yellow turnip|3
Turnip|Seven Top|Greens type; no bulb|4
Virginia Bluebell|Standard Native|Classic blue spring ephemeral|1
Virginia Bluebell|Pink Form|Rare pink flowered form|2
Virginia Bluebell|Alba|White flowering form|3
Winterberry Holly|Red Sprite|Compact female; red berries|1
Winterberry Holly|Berry Heavy|Heavy fruiting female|2
Winterberry Holly|Jim Dandy|Male pollinator|3
Winterberry Holly|Southern Gentleman|Male pollinator|4
Yellow Onion|Yellow Sweet Spanish|Large storage onion|1
Yellow Onion|Copra|Long keeper yellow|2
Yellow Onion|Walla Walla|Sweet onion|3
Yellow Onion|Stuttgarter|Standard yellow sets|4
Yukon Gold Potato|Yukon Gold|Classic yellow potato|1
Yukon Gold Potato|Kennebec|All-purpose white potato|2
Yukon Gold Potato|Red Norland|Early red skin|3
Yukon Gold Potato|Purple Majesty|Purple-flesh potato|4
Zucchini|Black Beauty|Dark green zucchini|1
Zucchini|Costata Romanesco|Ridged Italian type|2
Zucchini|Golden|Yellow zucchini|3
Zucchini|Eight Ball|Round zucchini|4
Stepping Pink Thyme|Pink Chintz|Soft pink flowers; mat-forming|1
Stepping Pink Thyme|Elfin|Tiny leaves; tight ground cover|2
Stepping Pink Thyme|Magic Carpet|Pink bloom; walkable thyme|3
Stepping Pink Thyme|Standard Stepping Pink|Classic stepping-stone thyme|4
Perilla|Green Shiso|Green leaves; sushi and pickles|1
Perilla|Red Shiso|Purple-red leaves; ume and color|2
Perilla|Britton|Large leaf; mild flavor|3
Perilla|Aka Shiso|Deep red ornamental form|4
Weeping Crabapple|Red Jade|Weeping with red buds|1
Weeping Crabapple|Louisa|Golden weeping crabapple|2
Weeping Crabapple|Spring Snow|White flowers; fruitless type|3
Weeping Crabapple|Tina|Compact weeping form|4
Foxglove|Camelot Rose|Rose pink spikes|1
Foxglove|Dalmatian Purple|Compact purple|2
Foxglove|Foxy|Mixed pastels; first-year bloom|3
Foxglove|Alba|White flowering foxglove|4
Solomon's Seal|Variegatum|White-edged leaves|1
Solomon's Seal|Native American|Polygonatum biflorum native|2
Solomon's Seal|Golden|Gold variegated form|3
Solomon's Seal|Giant|Tall Solomon's seal|4
Jacob's Ladder|Blue Pearl|Compact blue flowers|1
Jacob's Ladder|Brise d'Anjou|Variegated white edge|2
Jacob's Ladder|White Pearl|White flower form|3
Jacob's Ladder|Heavenly Habit|Large blue clusters|4
Grape Hyssop|Blue Fortune|Compact; long bloom|1
Grape Hyssop|Black Adder|Purple-black flower spikes|2
Grape Hyssop|Golden Jubilee|Chartreuse foliage|3
Grape Hyssop|Standard Anise Hyssop|Classic licorice-scented type|4
Hardy Geranium|Rozanne|Long-blooming blue-purple|1
Hardy Geranium|Johnson's Blue|Classic blue cranesbill|2
Hardy Geranium|Biokovo|Pale pink; ground cover|3
Hardy Geranium|Max Frei|Magenta; low spreading|4
Blue Mist|Dark Knight|Deep blue flowers|1
Blue Mist|Beyond Midnight|Very dark blue-purple|2
Blue Mist|Longwood Blue|Tall; silvery foliage|3
Blue Mist|Sunshine Blue|Gold foliage; blue flowers|4
Yellow Loosestrife|Alexander|Variegated yellow-green leaves|1
Yellow Loosestrife|Standard|Classic yellow spikes|2
Yellow Loosestrife|Golden Alexander|Gold-edged foliage|3
Yellow Loosestrife|Firecracker|Compact yellow form|4
Comfrey|Bocking 14|Sterile Russian comfrey; won't seed around|1
Comfrey|True Comfrey|Symphytum officinale; classic variety|2
Comfrey|Axminster Gold|Variegated gold leaf comfrey|3
Comfrey|Wild Native|Common comfrey from division|4
Oregano|Italian|Mild sweet oregano for cooking|1
Oregano|Greek|Strong flavor; dries well|2
Oregano|Hot and Spicy|Peppery oregano|3
Oregano|Compactum|Low mounding habit|4
Basil|Sweet Basil|Standard green basil|5
Basil|Holy Basil (Tulsi)|Sacred basil; tea herb|6
Basil|Cinnamon Basil|Spicy cinnamon-scented leaves|7
Basil|Purple Ruffles|Frilly purple ornamental basil|8
American Plum|Toka|Hybrid plum; sweet-tart|4
American Plum|BlackIce|Dark skin dessert plum|5
American Plum|Mount Royal|Blue European plum|6
American Plum|Oppenheim|German freestone plum|7
American Plum|Underwood|Early yellow plum|8
Black Currant|Titania|Swedish cultivar; heavy crop|4
Black Currant|Big Ben|Large sweet berries|5
Black Currant|Minaj Smyriou|Mild sweet black currant|6
Black Currant|Willoughby|American heavy producer|7
Black Currant|Ben Connan|Compact; large fruit|8
Bleeding Heart|Valentine|Red heart flowers|4
Bleeding Heart|Burning Hearts|Deep red compact|5
Bleeding Heart|King of Hearts|Fern-leaf red type|6
Bleeding Heart|Luxuriant|Red fringed bleeding heart|7
Bleeding Heart|Snowdrift|White fringed form|8
Brandywine Tomato|Sudduth's Strain|Large pink heirloom line|4
Brandywine Tomato|OTV Brandywine|Orange heirloom Brandywine|5
Brandywine Tomato|Potato Leaf|Potato-leaf Brandywine strain|6
Brandywine Tomato|Ruth's Perfect|Selected Brandywine line|7
Brandywine Tomato|Black Brandywine|Dark heirloom Brandywine|8
Chamomile|Bodegold|Double-flower tea chamomile|4
Chamomile|Treneague|Non-flowering lawn chamomile|5
Chamomile|Flore Pleno|Double Roman chamomile|6
Chamomile|Egyptian|Strong tea chamomile|7
Chamomile|Camo|Low mat chamomile|8
Chives|Staro|Uniform thick leaves|4
Chives|Forstar|Early heavy producer|5
Chives|Polyvit|Commercial bunching type|6
Chives|Nelly|Large leaf chives|7
Chives|Profusion|Ornamental pink flowers|8
Concord Grape|Mars|Seedless blue table grape|4
Concord Grape|Somerset|Seedless red NE hardy|5
Concord Grape|Interlaken|Seedless white early|6
Concord Grape|Canadice|Seedless red slipskin|7
Concord Grape|Glenora|Seedless blue early|8
Fleabane|Pink Mist|Pink native fleabane|4
Fleabane|Prosperity|Heavy blooming selection|5
Fleabane|Daisy May|Compact white form|6
Fleabane|Eastern Star|Native meadow selection|7
Fleabane|Ann's Choice|Low mounding fleabane|8
French Tarragon|Russian Tarragon|Hardy but milder flavor|4
French Tarragon|Mexican Mint Marigold|Warm-season tarragon substitute|5
French Tarragon|Winter Tarragon|Tagetes lucida type|6
French Tarragon|Dr. Higgs|Selected French clone|7
French Tarragon|Classic Cuttings|Mother plant propagation|8
Greek Oregano|Compactum|Low mounding habit|4
Greek Oregano|Variegata|Gold-edge leaves|5
Greek Oregano|Cleopatra|Compact Greek type|6
Greek Oregano|Syriaca|Showy hops-type oregano|7
Greek Oregano|Hot and Spicy|Peppery leaves|8
Highbush Cranberry|Hahs|Heavy fruiting native|4
Highbush Cranberry|Phillips|Selected American type|5
Highbush Cranberry|Bailey Compact|Dwarf cranberry bush|6
Highbush Cranberry|Alfredo|Large fruit clusters|7
Highbush Cranberry|Redwing|Red fall foliage|8
Lemon Balm|Aurea|Golden lemon balm|4
Lemon Balm|Variegata|White-splashed leaves|5
Lemon Balm|All Gold|Chartreuse foliage|6
Lemon Balm|Lime|Lime-scented selection|7
Lemon Balm|Lime Green|Bright chartreuse leaves|8
Mullein|Challenger|Ornamental mullein|4
Mullein|Southern Charm|Yellow spike hybrid|5
Mullein|Giovanni Grass|Compact ornamental|6
Mullein|Pink|Rare pink flowered mullein|7
Mullein|Arabian Nights|Dark spike ornamental|8
Ostrich Fern|Richie's Giant|Large fiddleheads|4
Ostrich Fern|Oregon|West coast fiddlehead type|5
Ostrich Fern|Pictum|Variegated ostrich fern|6
Ostrich Fern|Harris|Selected for harvest|7
Ostrich Fern|Native Division|Local NE division|8
Virginia Bluebell|Miles Standish|Pink bell selection|4
Virginia Bluebell|Montrose Blue|Large blue flowers|5
Virginia Bluebell|Marie|Compact blue form|6
Virginia Bluebell|Bartram|Named native strain|7
Virginia Bluebell|Rose Pink|Pink flowering clump|8
Apple Tree|Empire|Balanced sweet-tart NE favorite|11
Apple Tree|Northern Spy|Classic pie apple|12
Apple Tree|Paula Red|Early tart apple|13
Apple Tree|Jonathan|Spicy old-time apple|14
Apple Tree|Ida Red|Crisp storage apple|15
Apple Tree|Winesap|Aromatic heirloom|16
Pear Tree|Harrows Sweet|Fire blight resistant|7
Pear Tree|Kieffer|Hardy sand pear|8
Pear Tree|Magness|Disease resistant dessert|9
Pear Tree|Starkrimson|Red Bartlett sport|10
Peach Tree|Bounty|Late season freestone|7
Peach Tree|Gloria|White flesh heirloom|8
Peach Tree|Intrepid|Cold-hardy late bloom|9
Peach Tree|Madison|Hardy southern selection|10
Grape Vine|Swenson Red|Cold-hardy table grape|8
Grape Vine|Somerset Seedless|Seedless red NE grape|9
Grape Vine|Brianna|White wine and table|10
Grape Vine|La Crescent|White wine grape|11
Mint|Water Mint|For ponds and teas|8
Mint|Corsican Mint|Tiny mat ground cover|9
Mint|Ginger Mint|Apple-mint hybrid|10
Tomato|Cherokee Purple|Classic purple heirloom|6
Tomato|Early Girl|Early slicer|7
Tomato|Big Beef|Large hybrid slicer|8
Tomato|Mortgage Lifter|Large pink heirloom|9
Tomato|Rutgers|Classic NE tomato|10
Tomato|Amish Paste|Heavy paste tomato|11
Tomato|Green Zebra|Green striped heirloom|12
Tomato|Celebrity|Reliable hybrid|13
Tomato|Juliet|Prolific grape-type|14
Blueberry|Duke|Early highbush; firm berries|5
Blueberry|Elliott|Late-season highbush|6
Blueberry|Patriot|Early; red fall color|7
Blueberry|Chandler|Very large berries|8
Blueberry|Top Hat|Compact patio blueberry|9
Blueberry|Pink Lemonade|Pink-fruited blueberry|10
Strawberry|Jewel|Midseason NE favorite|5
Strawberry|Honeoye|Early heavy crop|6
Strawberry|Sparkle|Classic NE June bearer|7
Strawberry|Ozark Beauty|Everbearing classic|8
Red Raspberry|Latham|Summer red raspberry|5
Red Raspberry|Nova|Large firm berries|6
Red Raspberry|Anne|Yellow everbearing|7
Red Raspberry|Polana|Early fall bearing|8
Red Raspberry|Munger|Black raspberry (Rubus occidentalis); classic hardy NE cultivar|9
Rose|David Austin (English)|Old rose form; repeat bloom|5
Rose|Mr. Lincoln|Dark red hybrid tea|6
Rose|Peace|Yellow-pink classic|7
Rose|Zephirine Drouhin|Climbing thornless|8
Rose|Graham Thomas|Golden yellow English|9
Rose|Double Knock Out|Double landscape rose|10
Rose|Floribunda|Cluster-flower bush rose|11
Rose|Grandiflora|Large-flower hybrid|12
Rhododendron|Catawbiense Album|White catawba type|5
Rhododendron|Purple Gem|Low purple; early bloom|6
Rhododendron|Lee's Dark Purple|Compact deep purple|7
Rhododendron|Golden Oriole|Yellow rhododendron|8
Rhododendron|Scintillation|Large pink trusses|9
Rhododendron|Capistrano|Pale yellow NE hardy|10
Iris|Immortality|Reblooming white bearded|5
Iris|Caesar's Brother|Siberian blue classic|6
Iris|Beverly Sills|Pink bearded iris|7
Iris|Stellar Lights|Bicolor bearded|8
Iris|Purple Sensation|Dutch iris purple|9
Iris|Jennifer Rebecca|Ruffled pink bearded|10
Lily of the Valley|Hardwick Hall|Gold-edged leaves|5
